"Record ID","Deal Name","Deal Stage Before Closed Current Value","Change Date (Asia/Jerusalem)","Change Source","Changed By","Previous Value (1)","Change Date (1) (Asia/Jerusalem)","Change Source (1)","Changed By (1)","Previous Value (2)","Change Date (2) (Asia/Jerusalem)","Change Source (2)","Changed By (2)","..."
"17390361655","LendBuzz, Inc","Business case confirmation","2024-06-24 10:41","CRM UI","Gal Tarrab Levi","SDR / Omitted OPP","2024-06-06 10:40","Workflow","Update deal stage before closed deal","Business case confirmation","2024-06-06 10:39","Workflow","Update deal stage before closed deal","Demo / Presentation","2024-03-13 17:38","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2024-02-06 15:13","Workflow","Update deal stage before closed deal"
"48820620900","Zebra Technologies","Demo / Presentation","2025-12-01 21:25","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2025-11-10 18:36","Workflow","Update deal stage before closed deal"
"19926323081","Ryval-X","SDR / Omitted OPP","2024-06-07 16:24","Workflow","Update deal stage before closed deal"
"18128342554","TECNALIA - KubeCon ","SDR / Omitted OPP","2024-03-20 17:05","Workflow","Update deal stage before closed deal"
"35348470904","Dynatrace ","SDR / Omitted OPP","2025-04-02 16:17","Workflow","Update deal stage before closed deal"
"58446996038","KubeCon EU 2026 - shiv y","SDR / Omitted OPP","2026-03-26 23:26","Workflow","Update deal stage before closed deal"
"29386081114","Intuit","Demo / Presentation","2024-11-20 18:36","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2024-11-20 11:17","Record Merge","","SDR / Omitted OPP","2024-11-20 00:04","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2024-11-13 20:25","Workflow","Update deal stage before closed deal"
"33182929955","Indra","SDR / Omitted OPP","2025-02-09 11:23","Record Merge","","SDR / Omitted OPP","2025-02-09 11:17","Record Merge","","SDR / Omitted OPP","2025-02-06 18:46","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2025-02-06 18:46","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2025-02-06 18:41","Workflow","Update deal stage before closed deal"
"61624660231","SharkNinja","SDR / Omitted OPP","2026-06-26 21:32","Record Merge","","SDR / Omitted OPP","2026-06-12 16:38","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2026-06-11 19:18","Workflow","Update deal stage before closed deal"
"61024916650","M&T Bank","SDR / Omitted OPP","2026-06-10 23:25","Workflow","Update deal stage before closed deal"
"60238524488","ABASTIBLE","SDR / Omitted OPP","2026-05-13 22:46","Workflow","Update deal stage before closed deal"
"15090497845","Libertex group 2024","","2024-01-01 13:37","CRM UI","Gal Tarrab Levi","SDR / Omitted OPP","2023-12-11 11:09","Import","Deal stage and pre stage  by Gal Tarrab Levi"
"59184044935","AstraZeneca","SDR / Omitted OPP","2026-04-15 15:49","Workflow","Update deal stage before closed deal"
"48485962311","SmartEquip","SDR / Omitted OPP","2025-11-06 21:11","Workflow","Update deal stage before closed deal"
"61951815052","One NZ ","SDR / Omitted OPP","2026-07-01 09:41","Workflow","Update deal stage before closed deal"
"28783892747","Liatrio LLC","SDR / Omitted OPP","2024-11-06 18:52","Workflow","Update deal stage before closed deal"
"59102966281","Grupo Elektra, S.A.B. de C.V.","Demo / Presentation","2026-04-17 20:35","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2026-04-10 20:53","Workflow","Update deal stage before closed deal"
"22148397622","BorgWarner","SDR / Omitted OPP","2024-09-11 16:30","Workflow","Update deal stage before closed deal"
"29881537631","JumpCloud","Demo / Presentation","2025-06-18 19:38","Workflow","Update deal stage before closed deal","Pilot Prep","2025-02-18 23:54","Workflow","Update deal stage before closed deal","Demo / Presentation","2024-12-16 23:57","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2024-12-06 00:40","Workflow","Update deal stage before closed deal"
"35351628551","Sony Music ","SDR / Omitted OPP","2025-04-02 13:30","Workflow","Update deal stage before closed deal"
"58211070822","Boostlingo","Pilot Prep","2026-03-25 22:07","Workflow","Update deal stage before closed deal","Demo / Presentation","2026-03-23 17:43","Workflow","Update deal stage before closed deal","SDR / Omitted OPP","2026-03-20 18:42","Workflow","Update deal stage before closed deal"
"15837508099","Ruffin Galactic","SDR / Omitted OPP","2023-12-11 11:09","Import","Deal stage and pre stage  by Gal Tarrab Levi"
"14793340848","Anduril Industries ","SDR / Omitted OPP","2023-12-11 11:09","Import","Deal stage and pre stage  by Gal Tarrab Levi"
"59764618837","Chemist4U","SDR / Omitted OPP","2026-04-28 16:13","Workflow","Update deal stage before closed deal"
"15955867703","UiPath","SDR / Omitted OPP","2024-01-02 14:37","CRM UI Bulk Action","Gal Tarrab Levi"
"31684563802","Ally Financial","SDR / Omitted OPP","2025-01-07 23:27","Workflow","Update deal stage before closed deal"
